text,label
"I loved this movie, it was absolutely fantastic!",positive
"What a complete waste of time and money.",negative
"The acting was superb and the story kept me hooked.",positive
"Terrible service, I will never come back here again.",negative
"This is the best purchase I have made all year.",positive
"The product broke after just two days of use.",negative
"An absolute masterpiece from start to finish.",positive
"Boring, predictable, and far too long.",negative
"The staff were friendly and incredibly helpful.",positive
"I regret buying this, total disappointment.",negative
"Delicious food and a wonderful atmosphere.",positive
"The worst customer experience I have ever had.",negative
"Highly recommend this to anyone who loves a good thriller.",positive
"Cheaply made and overpriced for what it is.",negative
"A delightful surprise, exceeded all my expectations.",positive
"The flight was delayed for six hours with no explanation.",negative
"Beautiful cinematography and a moving soundtrack.",positive
"Rude employees and a dirty, cramped store.",negative
"This app makes my daily tasks so much easier.",positive
"It crashes constantly and drains my battery.",negative
"Such a heartwarming and inspiring story.",positive
"The plot made no sense and the ending was awful.",negative
"Great value for the money, very satisfied.",positive
"Do not waste your money on this garbage.",negative
"The hotel room was spotless and very comfortable.",positive
"Cold food, slow service, and a sticky table.",negative
"I cannot stop smiling, what a wonderful day.",positive
"Everything that could go wrong did go wrong.",negative
"The team delivered the project ahead of schedule.",positive
"My order arrived damaged and weeks late.",negative
"A brilliant performance by the entire cast.",positive
"Frustrating, confusing, and poorly designed.",negative
"This book changed the way I see the world.",positive
"Honestly one of the most boring nights of my life.",negative
"Fresh ingredients and generous portions, loved it.",positive
"The screen froze and I lost all my work.",negative
"Comfortable, stylish, and surprisingly affordable.",positive
"The instructions were useless and nothing fit together.",negative
"An unforgettable concert, the energy was amazing.",positive
"They lost my luggage and offered no compensation.",negative
"The new update is fast and beautifully designed.",positive
"Disappointing sequel that ruined the original.",negative
"Kind, patient, and genuinely caring staff.",positive
"Overhyped and underwhelming in every way.",negative
"I was blown away by how good this is.",positive
"The battery life is terrible and it overheats.",negative
"A cozy little cafe with the best coffee in town.",positive
"Stale bread, watery soup, and a long wait.",negative
"This course taught me so much, well worth it.",positive
"The lecture was dull and the slides were a mess.",negative
"Smooth checkout and lightning fast delivery.",positive
"Customer support never answered my emails.",negative
"The garden looks stunning after the renovation.",positive
"It smells weird and the color faded immediately.",negative
"My kids adore this toy, best gift ever.",positive
"Flimsy build quality that fell apart instantly.",negative
"The view from the balcony was breathtaking.",positive
"Noisy neighbors and paper-thin walls all night.",negative
"A clever, funny, and touching little film.",positive
"The software is bloated and impossible to navigate.",negative
"Excellent craftsmanship, this will last for years.",positive
"They overcharged me and refused to refund.",negative
"Such a relaxing and rejuvenating spa day.",positive
"The seats were broken and the AC was off.",negative
"This recipe turned out perfectly, so tasty.",positive
"Bland flavor and a greasy aftertaste.",negative
"The mentor was encouraging and knowledgeable.",positive
"Endless bugs made the game unplayable.",negative
"Gorgeous design and intuitive controls.",positive
"The packaging was wasteful and hard to open.",negative
"I felt valued and heard throughout the call.",positive
"A dull, lifeless remake nobody asked for.",negative
"The trail was scenic and well maintained.",positive
"My account got hacked and support did nothing.",negative
"Crisp picture quality and immersive sound.",positive
"The zipper broke the first time I used it.",negative
"A genuinely uplifting and joyful experience.",positive
"Slow, clunky, and full of intrusive ads.",negative
"The chef came out to thank us personally, lovely touch.",positive
"They cancelled my reservation without telling me.",negative
"This pillow gave me the best sleep in years.",positive
"The paint chipped within a week of installation.",negative
"Friendly drivers and always right on time.",positive
"The return process was a nightmare of red tape.",negative
"A thoughtful gift that she absolutely treasures.",positive
"Mediocre at best, I expected so much more.",negative
"The workshop was hands-on and genuinely useful.",positive
"Tasteless coffee served in a chipped mug.",negative
"Bright, spacious, and beautifully decorated rooms.",positive
"It arrived missing half the promised parts.",negative
"The community here is welcoming and supportive.",positive
"Glitchy interface that logs me out randomly.",negative
"An inspiring documentary I will watch again.",positive
"Worst haircut of my life, completely uneven.",negative
"Reliable, quiet, and energy efficient.",positive
"The hotel charged hidden fees at checkout.",negative
"Such a charming and well-written novel.",positive
"The headphones stopped working after a month.",negative
"A spectacular finale that left me cheering.",positive
"Cramped seating and a rude flight attendant.",negative
